Sala;Nombre;Buy in;Num_multip;Total casos;Multiplicador1;Multiplicador2;Multiplicador3;Multiplicador4;Multiplicador5;Multiplicador6;Multiplicador7;Multiplicador8;Multiplicador9;Frecuencia1;Frecuencia2;Frecuencia3;Frecuencia4;Frecuencia5;Frecuencia6;Frecuencia7;Frecuencia8;Frecuencia9;Premio1a%;Premio1b%;Premio1c%;Premio2a%;Premio2b%;Premio2c%;Premio3a%;Premio3b%;Premio3c%;Premio4a%;Premio4b%;Premio4c%;Premio5a%;Premio5b%;Premio5c%;Premio6a%;Premio6b%;Premio6c%;Premio7a%;Premio7b%;Premio7c%;Premio8a%;Premio8b%;Premio8c%;Premio9a%;Premio9b%;Premio9c%;Premio1a;Premio1b;Premio1c;Premio2a;Premio2b;Premio2c;Premio3a;Premio3b;Premio3c;Premio4a;Premio4b;Premio4c;Premio5a;Premio5b;Premio5c;Premio6a;Premio6b;Premio6c;Premio7a;Premio7b;Premio7c;Premio8a;Premio8b;Premio8c;Premio9a;Premio9b;Premio9c;Comisión$;Comisión%;Total;Comisión%calc
6;0.25;0.25;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;95000;221200;662450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;2000;300;200;200;30;20;20;3;2;10;1.5;1;5;0;0;2.5;0;0;1.25;0;0;0.75;0;0;0.5;0;0;0.02;0.08;0.69;0.0800000000000001
6;0.5;0.5;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;95000;221200;662450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;4000;600;400;400;60;40;40;6;4;20;3;2;10;0;0;5;0;0;2.5;0;0;1.5;0;0;1;0;0;0.04;0.08;1.38;0.0800000000000001
6;1;1;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;100000;236200;642450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;8000;1200;800;800;120;80;80;12;8;40;6;4;20;0;0;10;0;0;5;0;0;3;0;0;2;0;0;0.07;0.07;2.79;0.07
6;2;2;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;100000;236200;642450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;16000;2400;1600;1600;240;160;160;24;16;80;12;8;40;0;0;20;0;0;10;0;0;6;0;0;4;0;0;0.14;0.07;5.58;0.07
6;5;5;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;100000;236200;642450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;40000;6000;4000;4000;600;400;400;60;40;200;30;20;100;0;0;50;0;0;25;0;0;15;0;0;10;0;0;0.35;0.07;13.95;0.0700000000000001
6;10;10;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;100000;236200;642450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;80000;12000;8000;8000;1200;800;800;120;80;400;60;40;200;0;0;100;0;0;50;0;0;30;0;0;20;0;0;0.7;0.07;27.9;0.0700000000000001
6;25;25;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;100000;236200;642450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;200000;30000;20000;20000;3000;2000;2000;300;200;1000;150;100;500;0;0;250;0;0;125;0;0;75;0;0;50;0;0;1.75;0.07;69.75;0.07
6;50;50;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;100000;236200;642450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;400000;60000;40000;40000;6000;4000;4000;600;400;2000;300;200;1000;0;0;500;0;0;250;0;0;150;0;0;100;0;0;3.5;0.07;139.5;0.07
6;100;100;9;1000000;10000;1000;100;50;20;10;5;3;2;4;16;80;250;1000;20000;100000;236200;642450;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;800000;120000;80000;80000;12000;8000;8000;1200;800;4000;600;400;2000;0;0;1000;0;0;500;0;0;300;0;0;200;0;0;7;0.07;279;0.07
6;250;250;9;1000000;4000;400;100;40;20;10;5;3;2;4;16;80;250;1000;20000;100000;272300;606350;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;0.800;0.120;0.080;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;1.000;0.000;0.000;800000;120000;80000;80000;12000;8000;20000;3000;2000;8000;1200;800;5000;0;0;2500;0;0;1250;0;0;750;0;0;500;0;0;17.5;0.07;697.5;0.07
